"origen","reservada","correlacion","cantidad"
facebook_comentarios,aborto,sociedad,230
facebook_comentarios,alcohol,familia,227
facebook_comentarios,revolución,gobierno,227
facebook_comentarios,alcohol,salud,226
facebook_comentarios,drogas,calle,222
facebook_comentarios,drogas,seguridad,222
facebook_comentarios,arte,obras,222
facebook_comentarios,aborto,derechos,220
facebook_comentarios,aborto,abortos,220
facebook_comentarios,arte,amor,214
facebook_comentarios,aborto,leyes,213
facebook_comentarios,aborto,educación,213
facebook_comentarios,tecnología,gobierno,208
facebook_comentarios,aborto,casos,208
facebook_comentarios,aborto,droga,207
facebook_comentarios,esperanza,ganar,206
facebook_comentarios,esperanza,mal,205
facebook_comentarios,tecnología,vida,205
facebook_comentarios,esperanza,queda,204
facebook_comentarios,revolución,pueblo,204
facebook_comentarios,aborto,niña,203
facebook_comentarios,aborto,decidir,203
facebook_comentarios,arte,personas,202
facebook_comentarios,esperanza,tarde,201
facebook_comentarios,aborto,bebe,200
facebook_comentarios,alcohol,toma,198
