"reservada","correlacion","cantidad","origen"
trabajador,paro,356,facebook_comentarios
trabajador,paga,356,facebook_comentarios
trabajador,clase,348,facebook_comentarios
trabajador,personas,347,facebook_comentarios
trabajador,pagar,345,facebook_comentarios
trabajador,seguro,341,facebook_comentarios
trabajador,seguridad,325,facebook_comentarios
trabajador,pasa,308,facebook_comentarios
trabajador,gana,305,facebook_comentarios
trabajador,delincuentes,296,facebook_comentarios
trabajador,persona,294,facebook_comentarios
trabajador,pesos,289,facebook_comentarios
trabajador,fa,289,facebook_comentarios
trabajador,clase,3,twitter
trabajador,gobierno,3,twitter
trabajador,herido,3,twitter
trabajador,instagram,3,twitter
trabajador,foto,3,twitter
trabajador,trabajador,135,twitter
trabajador,rural,23,twitter
trabajador,feliz,20,twitter
trabajador,libertad,7,twitter
trabajador,familia,7,twitter
trabajador,trabajadores,7,twitter
trabajador,ley,6,twitter
trabajador,contrabando,6,twitter
trabajador,arroz,6,twitter
trabajador,privan,6,twitter
trabajador,personas,6,twitter
trabajador,cnt,5,twitter
trabajador,taxi,5,twitter
trabajador,pit,5,twitter
trabajador,sundde,4,twitter
trabajador,vázquez,4,twitter
trabajador,spot,4,twitter
trabajador,chorros,4,twitter
trabajador,muerte,4,twitter
trabajador,empresa,4,twitter
trabajador,luislacallepou,3,twitter
trabajador,isa,3,twitter
trabajador,jornada,3,twitter
trabajador,cobrar,3,twitter
trabajador,historia,3,twitter
trabajador,trabajador,587,post_facebook
trabajador,gobierno,99,post_facebook
trabajador,trabajadores,91,post_facebook
trabajador,frente,78,post_facebook
trabajador,feliz,66,post_facebook
trabajador,vida,65,post_facebook
trabajador,pueblo,63,post_facebook
trabajador,ley,61,post_facebook
trabajador,paro,60,post_facebook
trabajador,familia,55,post_facebook
trabajador,amplio,55,post_facebook
trabajador,derechos,54,post_facebook
trabajador,muerte,53,post_facebook
trabajador,personas,53,post_facebook
trabajador,salud,52,post_facebook
trabajador,nacional,52,post_facebook
trabajador,forma,51,post_facebook
trabajador,historia,49,post_facebook
trabajador,rural,48,post_facebook
trabajador,persona,46,post_facebook
trabajador,clase,46,post_facebook
trabajador,laboral,45,post_facebook
trabajador,empresas,45,post_facebook
trabajador,justicia,44,post_facebook
trabajador,seguridad,42,post_facebook
trabajador,social,42,post_facebook
trabajador,derecho,42,post_facebook
trabajador,dinero,41,post_facebook
trabajador,media,40,post_facebook
trabajador,meses,40,post_facebook
trabajador,trabajador,"8,117",facebook_comentarios
trabajador,gobierno,"1,050",facebook_comentarios
trabajador,pueblo,961,facebook_comentarios
trabajador,clase,3,twitter
trabajador,trabajadores,789,facebook_comentarios
trabajador,vida,689,facebook_comentarios
trabajador,sueldo,512,facebook_comentarios
trabajador,familia,479,facebook_comentarios
trabajador,frente,465,facebook_comentarios
trabajador,derechos,453,facebook_comentarios
trabajador,impuestos,419,facebook_comentarios
trabajador,mal,411,facebook_comentarios
trabajador,plata,402,facebook_comentarios
trabajador,dinero,401,facebook_comentarios
trabajador,pobre,391,facebook_comentarios
trabajador,derecho,369,facebook_comentarios
trabajador,ley,362,facebook_comentarios
trabajador,salario,359,facebook_comentarios
trabajador,paro,356,facebook_comentarios
trabajador,paga,356,facebook_comentarios
trabajador,clase,348,facebook_comentarios
trabajador,personas,347,facebook_comentarios
trabajador,pagar,345,facebook_comentarios
trabajador,seguro,341,facebook_comentarios
trabajador,seguridad,325,facebook_comentarios
trabajador,pasa,308,facebook_comentarios
trabajador,gana,305,facebook_comentarios
trabajador,delincuentes,296,facebook_comentarios
trabajador,persona,294,facebook_comentarios
trabajador,pesos,289,facebook_comentarios
trabajador,fa,289,facebook_comentarios
trabajador,gobierno,3,twitter
trabajador,herido,3,twitter
trabajador,instagram,3,twitter
trabajador,foto,3,twitter
gurí,gurí,32,twitter
gurí,primaria,4,twitter
gurí,denmota,3,twitter
gurí,vacaciones,3,twitter
gurí,unificado,3,twitter
gurí,escolar,3,twitter
gurí,semana,3,twitter
gurí,registro,3,twitter
gurí,galhina,3,twitter
gurí,pintadinha,3,twitter
gurí,gestión,3,twitter
gurí,sistema,3,twitter
gurí,programador,3,twitter
gurí,enchufar,3,twitter
