pestaña,Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Act_Jur,Cantidad
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIVISITAS,6
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIOtros_ANT,99
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIOtros,83
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AI,1159
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,ADUCON,1287
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDTTOT,2570
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDR,1018
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDS,265
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDUNI,529
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AREPEVD,0
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AUDPREL_0,400
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AUDEVAL,132
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,ARCHI,567
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,RESTEL_ANT,1980
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,RESTEL,1371
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,EXPTR_ANT,1021
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,EXPTR,884
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,NOTIF,605
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIVD_ANT,626
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIVD,576
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AICNA_ANT,344
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AICNA,366
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIVISITAS_ANT,27
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIVISITAS,3
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIOtros_ANT,135
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AIOtros,50
Famesp Mvd,500,1,-1,-1,-1,1,-1,2,1,6,-1,11,AI,995
